name,latitude,longitude
3-5 Saint John Street-London-EC1M 4AA,51.52003944,-0.10191644
Arch 16 Station Place-London-N4 2DQ,51.5650509,-0.1058653
Cabot Square-London-E14 4QS,51.50517151,-0.02019024
Ariel Way-London-W12 7GA,51.507666,-0.2214629
Ariel Way-London-W12 7HT,51.50756415,-0.22118126
4 Regent Place-London-W1B 5EA,51.5111586,-0.1383445
202-206 Union Street-London-SE1 0LX,51.5038806,-0.1026117
92 Buckingham Palace Road-London-SW1W 0SS,51.49442624,-0.14697332
219 Finchley Road-London-NW3 6LP,51.54690476,-0.18004142
168-188 Fulham Palace Road-London-W6 9PA,51.485305,-0.2205008
120-125 Strand-London-WC2R 0AP,51.51093246,-0.11928548
7-8 Saint Martin's Place-London-WC2N 4HA,51.5093776,-0.1267583
15 Old Brompton Road-London-SW7 3HZ,51.4935407,-0.17427353
161 City Road-London-EC1V 1NR,51.52798726,-0.08944553
Belvedere Road-London-SE1 8XX,51.50597386,-0.11707268
1 George Street-London-W1U 3QF,51.51787666,-0.15173055
190 Strand-London-WC2R 1DP,51.51272916,-0.1141443
192 Shoreditch High Street-London-E1 6HU,51.52403,-0.07747
3 Duke of York Street-London-SW1Y 6JP,51.50827197,-0.13642814
49-52 Bow Lane-London-EC4M 9DJ,51.5134517,-0.0932354
18 Hanover Street-London-W1S 1YN,51.5138039,-0.1419489
Hepdon Mews-London-SW17 0RE,51.42678487,-0.17572645
65 Long Acre-London-WC2E 9JD,51.513926,-0.122915
240-241 High Holborn-London-WC1V 7DN,51.5176072,-0.1189221
Wembley Park Boulevard-London-HA9 0FD,51.5562944,-0.28372611
157 Camden High Street-London-NW1 7JY,51.53812,-0.142214
2 White Kennett Street-London-E1 7BS,51.5150581,-0.0769397
2 Canvey Street-London-SE1 9AN,51.5057588,-0.0992494
99 Gloucester Road-London-SW7 4SS,51.49400308,-0.18201869
27 Islington High Street-London-N1 9LH,51.53288847,-0.10638551
25 Villiers Street-London-WC2N 6ND,51.5082401,-0.1238025
1 Long Lane-London-EC1A 9HA,51.5200484,-0.0981312
43 King William Street-London-EC4R 9AN,51.5098409,-0.0866542
29-33 Kingsway-London-WC2B 6UF,51.5141584,-0.118532
21-24 Grosvenor Place-London-SW1X 7HN,51.49986593,-0.14943966
Tottenham Court Road-London-W1D 1AN,51.520258,-0.1342503
101 Turnmill Street-London-EC1M 5QP,51.5203373,-0.1043052
17 City Road-London-EC1Y 1AG,51.52249124,-0.08686051
14-16 Lombard Street-London-EC3V 9AU,51.51275452,-0.08765949
556 Oxford Street-London-W1C 1LZ,51.51364754,-0.15860488
Kensington High Street-London-W8 5SF,51.5008069,-0.1926418
Ariel Way-London-W12 7GR,51.50749237,-0.2212054
Prince Charles Drive-London-NW4 3FB,51.5772021,-0.2241812
49 Eastcastle Street-London-W1W 8DZ,51.5163649,-0.138999
32 Avery Row-London-W1K 4BE,51.51229638,-0.145394
14-24 Caxton Street-London-SW1H 0QU,51.49868944,-0.13596343
Euston Station-London-NW1 2SX,51.528334,-0.1275658
19 Eastcheap-London-EC3M 1BU,51.5108879,-0.0844184
298 Regent Street-London-W1B 3AP,51.516306,-0.1420877
167 Borough High Street-London-SE1 1HR,51.502713,-0.09191
7 Marylebone High Street-London-W1U 4NL,51.51846551,-0.15173285
20 Baker Street-London-W1U 3BY,51.5176734,-0.1551687
8-10 King Street-London-W6 0QA,51.49307,-0.22559
120 Baker Street-London-W1U 6TU,51.5213216,-0.1569469
49 Tothill Street-London-SW1H 9LQ,51.4996039,-0.1325016
121 Bethnal Green Road-London-E2 7DG,51.5249789,-0.0718784
121 Putney High Street-London-SW15 1SU,51.46239,-0.21622
21 Saint George Wharf-London-SW8 2JW,51.48625,-0.12483
240 Blackfriars Road-London-SE1 8NW,51.506604,-0.1040824
39 Coventry Street-London-W1D 6BZ,51.5102973,-0.1316134
47-49 Tooley Street-London-SE1 2QN,51.5055593,-0.08499506
1 Finsbury Square-London-EC2A 1AE,51.5207044,-0.0875261
9/10 Goswell Road-London-EC1M 7AN,51.5231115,-0.0985752
52-54 Cannon Street-London-EC4N 6LY,51.51193478,-0.09233587
36-38 Cowcross Street-London-EC1M 6BY,51.52022976,-0.10464827
10 Paternoster Square-London-EC4M 7DY,51.51520101,-0.09907372
7-8 Rathbone Place-London-W1T 1HN,51.5168322,-0.1330828
7 Berkeley Square-London-W1J 6ES,51.50950978,-0.1445307
7 Westferry Circus-London-E14 4HD,51.50657053,-0.02606839
28 Fenchurch Avenue-London-EC3M 5AD,51.51293351,-0.08140526
182 Saint John Street-London-EC1V 4JZ,51.5245722,-0.1030966
5 Aldermanbury Square-London-EC2V 7HR,51.51712345,-0.0933459
Harbour Exchange Square-London-E14 9GE,51.49897782,-0.01590191
402 Saint John Street-London-EC1V 4NJ,51.5310634,-0.1057951
21 Mansell Street-London-E1 8AA,51.5137929,-0.0732797
45 High Street-London-W5 5AW,51.5129292,-0.3047751
95 Cannon Street-London-EC4N 5AE,51.5118373,-0.0904335
1 Canada Square-London-E14 4QS,51.50514747,-0.01952342
Westfield Avenue-London-E20 1ES,51.543251,-0.007338
35 Frith Street-London-W1D 5LQ,51.5126935,-0.1310827
230-232 Earls Court Road-London-SW5 9RD,51.4920426,-0.1930876
Bank Street-London-E14 5NY,51.50310441,-0.01855819
1 Westfield Avenue-London-E20 1EJ,51.5432372,-0.0072938
1 The Pavement-London-SW4 0HY,51.46210518,-0.13826756
99 Chase Side-London-N14 5BU,51.63360585,-0.13323301
192 Haverstock Hill-London-NW3 2AJ,51.5506092,-0.1645044
36-38 Piccadilly-London-W1J 0DP,51.50907835,-0.13740609
Creek Road-London-SE10 9EJ,51.4818227,-0.010761
200 Balham High Road-London-SW12 9DH,51.44369959,-0.15299229
13 Clifton Road-London-W9 1SZ,51.52560583,-0.17899788
Eversholt Street-London-NW1 2RT,51.52864431,-0.13334982
Hatton Walk-London-EN2 6LF,51.65185589,-0.08213933
Bothwell Close-London-E16 1QT,51.51492443,0.00923386
York Road-London-SE1 7NA,51.5037078,-0.1163002
356-358 South Lambeth Road-London-SW8 1UG,51.4727035,-0.1225105
8 Victoria Road-London-KT6 4JL,51.5006881,-0.1860604
100 Liverpool Street-London-EC2M 2RH,51.51854757,-0.08162233
172 Stoke Newington High Street-London-N16 0PE,51.56155871,-0.07350939
252 Tottenham Court Road-London-W1T 7RB,51.51789663,-0.13120955
Circus Rd W-London-SW8 5BN,51.4823811,-0.1444907
Chiswick Park-London-W4 5YA,51.49469332,-0.27590286
19-21 Ludgate Hill-London-EC4M 7AE,51.51378,-0.10124
73 Russell Square-London-WC1B 5BG,51.5221659,-0.1244796
173 Victoria Street-London-SW1E 5NA,51.496379,-0.1422169
336 Chiswick High Road-London-W4 5TL,51.49285241,-0.26231051
M1 Junction 23 A Derby East Midlands-London-DE74 2TN,52.8216898590715,-1.30815431573782
M6 North jct 14-15 Stone-London-ST15 0EU,52.884371036112,-2.17054242481578
Station Road-London-TN8 6HL,51.20627775,0.06149208
M62-London-WF11 0AF,53.69764594,-1.26660669
101 Kilburn High Road-London-NW6 6JE,51.53594,-0.19107
197 Muswell Hill Broadway-London-N10 3RS,51.59094,-0.14292
Saint John's Hill-London-SW11 1RU,51.46362314,-0.16886736
357-361 Lewisham High Street-London-SE13 6RA,51.4520396,-0.0160621
5 Millennium Way-London-SE10 0PH,51.50026158,0.00344265
Unit F Broad Lane-London-N15 4QT,51.58707666,-0.06357376
Unit SUK2 Two Rivers Shopping Centre-London-TW18 4UP,51.43467,-0.51096
Thamesmead London-London-SE2 9SA,51.492875,0.121503
Essington wolverhampton staffordshire-London-WV11 2AT,52.64297,-2.05768
cobham extra motorway services downside cobham-London-KT11 3DB,51.30438,-0.40567
130 West End Lane-London-NW6 1SA,51.54724271,-0.19093184
Canada Place-London-E14 5AH,51.50659002,-0.02782073
57 Great Eastern Street-London-EC2A 3QD,51.524587,-0.08116903
35 Broadwick Street-London-W1F 0DH,51.513341,-0.1363076
21 Spafield Street-London-EC1R 4QD,51.52566006,-0.10993477
Airport Approach Road-Luton-LU2 9LY,51.88056977,-0.37525119
Airport Way-Luton-LU2 9LY,51.88035022,-0.37548001
Airside Departure Lounge-Luton-LU2 9LY,51.88035783,-0.37539066
Mount Pleasant Road-Luton-LU3 2RR,51.9062321153059,-0.458434967753206
Fremlin Walk-Maidstone-ME14 1QG,51.27518819,0.52121366
60 The Trafford Centre-Manchester-M17 8DA,53.4664691,-2.3472996
4 Hardman Square-Manchester-M3 3EB,53.47981987,-2.25192072
Ramp Road South-Manchester-M90 1QX,53.3619363,-2.2729717
34 Oxford Street-Manchester-M1 5EL,53.47630153,-2.24296481
27 Cross Street-Manchester-M2 1WL,53.48188255,-2.24428964
A6-Manchester-M1 2BN,53.47744847,-2.23110349
T1 Outwood Lane-Manchester-M90 3FE,53.36170109,-2.2749916
University Green-Manchester-M13 9GP,53.46786833,-2.23541131
Corporation Street-Manchester-M4 3AQ,53.4838904,-2.24199
1 Portland Street-Manchester-M1 1RG,53.48053,-2.23594
Atlanta Avenue-Manchester-M90 1QX,53.3679533,-2.2821395
Atlanta Ave-Manchester-M90 1QX,53.36785117,-2.28188467
Chancellor Lane-Manchester-M12 6JZ,53.47346066,-2.21598442
79-81 Deansgate-Manchester-M3 2BW,53.48213911,-2.24691611
Kiosk 1-Midsummer Place Saxon Gate-Midsummer Place-MK9 3GB,52.041439,-0.76056
27-29 Eagle Walk-Milton Keynes-MK9 3AJ,52.04448591,-0.75343527
500 Elder Gate-Milton Keynes-Milton Keynes-MK9 1BB,52.0347,-0.774
Malden Way-New Malden-KT3 6HF,51.39876836,-0.24363234
93 Northbrook Street-Newbury-RG14 1AA,51.4019656099405,-1.32459797432626
142-145 Northumberland Street-Newcastle-NE1 7AG,54.975941,-1.6128
Units 5-7-Central station-Neville street Newcastle upon Tyne-Newcastle-NE1 5DL,54.96909,-1.61813
11 Haymarket-Norwich-NR2 1QD,52.6271497,1.293512
10 High Street-Nottingham-NG1 2ET,52.9533995,-1.1477178
Cray Avenue-Orpington-BR5 3RP,51.39298068,0.11250255
26-27 Cornmarket Street-Oxford-OX1 3EY,51.7534687,-1.258354
Castle Street-Oxford-OX1 1RQ,51.74985436,-1.26136302
240 Banbury Road-Oxford-OX2 7BY,51.77657544,-1.2642265
Headley Way-Oxford-OX3 9DU,51.7653332,-1.22183676
2 Cornmarket Street-Oxford-OX1 3EX,51.7523005,-1.25772906
Unit 2-Oxford Train Station Park End Street-Oxford-Oxford-OX1 1HS,51.7533761021506,-1.27011246985964
